filename,repeticao,L,a,b
"a60",3,50.89,23.25,19.85
"a60",3,50.67,23.37,19.83
"a60",3,50.11,23.53,19.64
"a61",3,71.65,19.09,17.68
"a61",3,75.55,19.9,18.92
"a61",3,72.55,19.76,18.14
"a62",3,64.35,21.92,21.69
"a62",3,68.09,25.03,24.15
"a62",3,68.06,25.31,24.62
"a63",3,69.56,24.59,24.4
"a63",3,67.36,26.2,26.5
"a63",3,68.54,23.68,18.32
"a64",3,81.03,15.47,19.8
"a64",3,85.28,16.73,20.96
"a64",3,81.08,15.64,19.69
"a65",3,80.94,17.5,22.58
"a65",3,83.84,20.63,22.58
"a65",3,83.6,21.03,22.58
"a66",3,83.01,19.04,21.79
"a66",3,82.87,19.16,20.79
"a66",3,78.1,18.58,20.14
"a67",3,85.05,17.25,22.01
"a67",3,79.89,17.78,20.29
"a67",3,79.17,17.82,21.18
"a68",3,76.78,15.84,19.17
"a68",3,79.33,15.49,18.54
"a68",3,77.77,15.16,17.5
"a69",3,53.93,23.32,17.14
"a69",3,57.08,22.61,17.91
"a69",3,58.35,22.12,19.19
"a70",3,69.99,23.31,21.67
"a70",3,65.9,25.6,3.27
"a70",3,68.85,25.12,22.73
"a71",3,64.17,29.16,20.4
"a71",3,61.21,27.22,19.49
"a71",3,61.52,25.07,20.71
"a72",3,70.86,19.94,15.98
"a72",3,75.38,19.79,15.65
"a72",3,73.38,20.43,16.02
"a73",3,73.23,21.57,16.19
"a73",3,67.77,20.64,15.39
"a73",3,72.67,20.61,15.22
"a74",3,78.35,16.3,20.82
"a74",3,77.13,16.26,20.97
"a74",3,77.4,16.32,21.13
"a75",3,79.68,19.79,19.3
"a75",3,77.48,19.04,18.76
"a75",3,74.82,19.23,18.55
"a76",3,65.23,23.4,23.89
"a76",3,65.07,23.48,23.46
"a76",3,61.15,22.23,21.2
"a77",3,60.12,22.93,19.79
"a77",3,62.28,22.58,19.5
"a77",3,58.1,23.35,19.7
"a78",3,56.9,23.95,19.66
"a78",3,53.78,23.9,19.58
"a78",3,54.73,23.23,19.65
"a79",3,62.31,22.48,20.08
"a79",3,63.08,21.7,19.41
"a79",3,65.09,21.23,19.8
"a80",3,63.28,25.06,22.43
"a80",3,59.78,25.91,21.58
"a80",3,65.48,23.76,21.07
"a81",3,62.16,14,21.58
"a81",3,62.04,14.05,21.83
"a81",3,62.37,14,21.72
"a82",3,86.87,15.17,18.87
"a82",3,92.93,15.68,18.69
"a82",3,84.45,15.25,19.69
"a83",3,85.05,16.8,18.14
"a83",3,87.18,16.82,20.04
"a83",3,81.21,16.34,20.73
"a84",3,85.7,15.41,18.74
"a84",3,87.74,15.04,17.9
"a84",3,84.63,15.14,18.53
"a85",3,63.37,23.94,21.67
"a85",3,64.53,24.2,21.38
"a85",3,66.57,25.1,21.3
"a86",3,64.52,25.14,20.12
"a86",3,59.19,22.09,19.75
"a86",3,62.18,22.12,19.72
"a87",3,55.46,21.26,15.83
"a87",3,50.44,21.35,15.74
"a87",3,50.36,21.47,15.72
"a88",3,54.31,21.02,17.1
"a88",3,53.93,21.05,17.13
"a88",3,55.06,22.64,16.81
"a89",3,61.3,28.37,21.97
"a89",3,58.66,26.21,18.69
"a89",3,57.89,26.17,19.28
"a90",3,81.13,17.52,19.34
"a90",3,81.31,17.67,20.41
"a90",3,82.27,19.53,25.79
"a91",3,57.96,21.95,19.59
"a91",3,56.76,23.31,19.45
"a91",3,51.29,21.36,16.56
"a92",3,77.05,18.24,18.96
"a92",3,79.9,17.94,19.52
"a92",3,73.7,20.26,22.23
"a93",3,57.02,23.56,18.65
"a93",3,55.51,23.38,18.83
"a93",3,53.37,23.72,19.44
"a94",3,61.48,25.18,19.99
"a94",3,59.05,26.09,19.65
"a94",3,57.42,25.76,19.16
"a95",3,89.43,15.04,18.08
"a95",3,89.79,14.8,18.61
"a95",3,91.82,14.53,19.07
"a96",3,75.66,15.94,17.4
"a96",3,78.71,15.9,18.41
"a96",3,78.92,16.24,19.1
"a97",3,77.95,16.57,20.89
"a97",3,79.26,16.5,19.9
"a97",3,77.84,16.69,20.6
"a98",3,53.34,22.81,16.53
"a98",3,53.53,23.2,16.53
"a98",3,54.7,25.07,17.17
"a99",3,56.06,24.61,18.34
"a99",3,56.16,24.35,18.14
"a99",3,54.8,24.24,17.77
"a100",3,89.8,14.61,16.94
"a100",3,83.78,14.55,17.06
"a100",3,84.39,14.81,17.81
c0,1,80.51,13.13,18.14
c0,2,81.12,14.07,18.53
c0,3,86.53,13.84,20.39
e1,1,86.07,13.03,17.19
e1,2,88.72,14.47,20.13
e1,3,86,13.14,17.94
e2,1,88.43,12.76,16.83
e2,2,88.91,14.51,18.03
e2,3,89.99,13.72,17.69
e3,1,85.71,13.38,18.05
e3,2,85.13,14.08,18.58
e3,3,87.41,14.86,19.99
e4,1,81.48,14.08,20.38
e4,2,82.98,13.84,18.53
e4,3,81.58,14.65,19.33
e5,1,85.96,13.36,17.32
e5,2,81.36,16.92,19.71
e5,3,81.58,14.38,20.35
e6,1,74.42,16.8,20.59
e6,2,76.8,13.68,17.53
e6,3,77.48,13.99,19.14
e7,1,83.71,13.99,20.01
e7,2,85.78,14.51,20.48
e7,3,84.91,15.21,19.62
e8,1,85.75,18.29,22.17
e8,2,88.12,14.15,18.69
e8,3,83.93,15.65,20.64
e9,1,85.22,15.55,21.47
e9,2,84.55,16.09,21.58
e9,3,85.07,16.06,19.44
e10,1,83.65,16.15,20.18
e10,2,81.96,14.05,20.46
e10,3,83.1,17.18,21.39
e11,1,81.07,13.43,19.27
e11,2,77.76,14.94,19.7
e11,3,80.73,14.24,20.17
e12,1,78.49,14.04,20.07
e12,2,73.58,18.72,20.98
e12,3,79.01,13.4,17.22
