id,attribute,original,prediction,difference
a1,L,86.61666666666667,12.195108,74.42155825297039
a10,L,58.54333333333333,-8.978785,67.52211789449055
a100,L,85.99,10.881417,75.1085827255249
a11,L,75.27999999999999,4.5902624,70.68973758697508
a12,L,75.78333333333333,4.935247,70.84808638890584
a13,L,80.47000000000001,-1.4349226,81.90492257595064
a14,L,64.40333333333334,7.9565516,56.44678178151449
a15,L,69.14333333333333,-7.015945,76.15927829106649
a16,L,76.04333333333334,-5.645596,81.6889293607076
a17,L,78.94,0.304121,78.63587901234627
a18,L,79.57666666666667,0.09724072,79.47942594299714
a19,L,86.42666666666666,12.305192,74.12147467295328
a2,L,84.80666666666667,9.637358,75.16930895487468
a20,L,82.02999999999999,12.688437,69.34156253814696
a21,L,61.276666666666664,-8.389014,69.66568091074626
a22,L,69.13333333333333,2.1523552,66.98097813924153
a23,L,65.86666666666666,-3.6922355,69.55890213648478
a24,L,67.38666666666667,-5.045731,72.43239773432414
a25,L,63.29666666666666,-6.578541,69.8752074686686
a26,L,65.42,-5.0277624,70.4477624130249
a27,L,69.46666666666665,-7.798414,77.26508089701333
a28,L,81.82666666666667,13.039453,68.78721411387126
a29,L,81.21666666666665,12.278965,68.93770167032876
a3,L,87.38666666666666,13.482147,73.90451944986978
a30,L,56.95333333333334,-5.0296936,61.983026936848965
a31,L,71.44,2.4227238,69.0172762298584
a32,L,65.61,-3.2928128,68.90281282424927
a33,L,58.373333333333335,-4.924391,63.297724126180015
a34,L,58.52666666666667,-5.7975807,64.32424738566081
a35,L,86.50333333333333,3.4365554,83.06677794774373
a36,L,73.44,3.6227245,69.81727546691894
a37,L,74.75666666666666,1.6610426,73.09562409559885
a38,L,73.29666666666667,-1.1588955,74.45556215922038
a39,L,77.00999999999999,8.225597,68.7844026184082
a4,L,70.25,10.640511,59.60948944091797
a40,L,46.40333333333333,-3.235705,49.63903823216756
a41,L,71.37666666666667,3.770958,67.60570871988932
a42,L,75.53666666666668,0.4401168,75.09654987374942
a43,L,68.72,3.4189024,65.30109760284424
a44,L,72.13333333333334,11.689785,60.44354832967123
a45,L,56.656666666666666,-5.748193,62.404859453837076
a46,L,70.25333333333333,5.3512325,64.9021008046468
a47,L,72.31666666666666,3.4367476,68.87991911570231
a48,L,64.85333333333334,2.6503868,62.202946523030604
a49,L,67.78666666666668,2.6089272,65.17773941675823
a5,L,67.70666666666666,-2.6016216,70.30828829447428
a50,L,84.80666666666667,11.56533,73.2413371149699
a51,L,63.59666666666667,-7.4385614,71.03522810618082
a52,L,54.803333333333335,-7.797488,62.600821545918784
a53,L,58.843333333333334,-10.608842,69.45217522939046
a54,L,56.03333333333334,-7.3337884,63.36712172826132
a55,L,62.19,-7.616999,69.80699914932251
a56,L,83.53666666666668,7.2534657,76.28320101420086
a57,L,85.39999999999999,9.973408,75.42659225463866
a58,L,87.10333333333331,7.327578,79.77575526555377
a59,L,50.27333333333333,-7.258474,57.53180720647176
a6,L,75.86333333333333,-3.8455377,79.70887099583943
a60,L,50.55666666666667,-6.267767,56.82443361918132
a61,L,73.25,-1.4214076,74.67140758037567
a62,L,66.83333333333333,-7.345728,74.17906125386556
a63,L,68.48666666666668,-8.832226,77.31889246622723
a64,L,82.46333333333332,8.873176,73.59015771230061
a65,L,82.79333333333334,1.8431348,80.95019857247671
a66,L,81.32666666666667,1.7287643,79.59790237108867
a67,L,81.37,3.7885199,77.58148014068604
a68,L,77.96,6.3326707,71.62732931137084
a69,L,56.453333333333326,-10.101783,66.55511613210041
a7,L,83.52,6.3112183,77.20878173828125
a70,L,68.24666666666666,-6.1994267,74.44609331766763
a71,L,62.300000000000004,-9.997426,72.29742603302003
a72,L,73.20666666666666,-1.9049697,75.11163635889689
a73,L,71.22333333333334,0.596295,70.62703833421072
a74,L,77.62666666666667,1.9492043,75.6774623409907
a75,L,77.32666666666667,-1.7004137,79.02708037058513
a76,L,63.81666666666667,-8.115709,71.93237597147623
a77,L,60.166666666666664,-8.754027,68.92069403330484
a78,L,55.13666666666666,-7.567085,62.703751455942786
a79,L,63.49333333333334,-9.196156,72.68948888142904
a8,L,80.28999999999999,11.306935,68.98306468963622
a80,L,62.84666666666667,-4.733803,67.58046946207682
a81,L,62.19,-6.2574987,68.4474987411499
a82,L,88.08333333333333,13.027912,75.05542119344075
a83,L,84.48,7.323881,77.15611885070801
a84,L,86.02333333333333,12.559556,73.46377732594807
a85,L,64.82333333333334,-7.3397865,72.16311986287435
a86,L,61.96333333333333,-6.3044095,68.2677428372701
a87,L,52.086666666666666,-7.389436,59.47610243479411
a88,L,54.43333333333334,-8.551584,62.98491757710775
a89,L,59.28333333333333,-10.534062,69.81739571889241
a9,L,61.22,-6.426608,67.64660808563232
a90,L,81.57,-0.014981084,81.5849810835719
a91,L,55.336666666666666,-7.473444,62.81011065165202
a92,L,76.88333333333333,0.031881414,76.85145191897948
a93,L,55.300000000000004,-8.332474,63.63247375488282
a94,L,59.31666666666666,-9.575797,68.89246374766032
a95,L,90.34666666666668,9.187156,81.1595109430949
a96,L,77.76333333333334,5.0869336,72.67639972050985
