id,attribute,original,prediction,difference
a72,L,73.20666666666666,0.82467747,72.38198919932047
a73,L,71.22333333333334,1.9998645,69.22346887429556
a74,L,77.62666666666667,4.701294,72.92537272135417
a75,L,77.32666666666667,2.6495998,74.67706687609355
a76,L,63.81666666666667,-7.8137283,71.6303949991862
a77,L,60.166666666666664,-9.334781,69.50144735972086
a78,L,55.13666666666666,-8.73658,63.873246561686194
a79,L,63.49333333333334,-5.976633,69.46996640523275
a8,L,80.28999999999999,12.597415,67.69258502960204
a80,L,62.84666666666667,-1.9433739,64.79004058519999
a81,L,62.19,-1.0888766,63.27887660503387
a82,L,88.08333333333333,14.930146,73.15318711598714
a83,L,84.48,9.283194,75.19680641174317
a84,L,86.02333333333333,13.535809,72.4875247701009
a85,L,64.82333333333334,-6.3804455,71.20377881368002
a86,L,61.96333333333333,-7.0484204,69.01175376256307
a87,L,52.086666666666666,-7.4676533,59.5543199412028
a88,L,54.43333333333334,-8.607088,63.040421422322595
a89,L,59.28333333333333,-9.246989,68.53032258351644
a9,L,61.22,-4.6459184,65.86591836929321
a90,L,81.57,2.8700445,78.69995553016662
a91,L,55.336666666666666,-7.9636354,63.30030211130778
a92,L,76.88333333333333,1.2885599,75.59477341969807
a93,L,55.300000000000004,-8.781114,64.08111362457277
a94,L,59.31666666666666,-7.6447473,66.96141392389933
a95,L,90.34666666666668,10.561754,79.78491243998211
a96,L,77.76333333333334,7.7050595,70.0582738049825
a97,L,78.35000000000001,9.097047,69.25295314788819
a98,L,53.85666666666666,-7.6673465,61.52401314417521
a99,L,55.673333333333325,-9.132001,64.80533425649006
c0,L,82.72,10.485294,72.23470565795898
e1,L,86.92999999999999,8.266187,78.66381328582763
e10,L,82.90333333333334,-1.0818386,83.98517194112142
e11,L,79.85333333333334,-0.798424,80.65175733884176
e12,L,77.02666666666666,1.1314015,75.89526512781778
e13,L,86.82333333333334,3.585299,83.23803431828817
e14,L,86.01,15.382444,70.62755561828614
e15,L,80.31666666666666,14.1812,66.13546663920084
e16,L,79.09666666666668,-2.0000849,81.09675154368084
e17,L,81.86999999999999,-1.5077207,83.37772070884704
e18,L,73.40333333333334,-1.5297502,74.9330835612615
e19,L,81.01333333333334,-0.14455739,81.15789071997007
e2,L,89.11,15.118099,73.99190078735352
e20,L,68.41666666666667,-0.08546837,68.5021350334088
e21,L,76.24,-0.03375767,76.27375767171382
e22,L,77.05,11.891661,65.15833930969238
e23,L,74.62,12.617962,62.00203811645508
e24,L,73.91333333333333,10.436448,63.47688523610432
e25,L,69.44666666666667,8.292842,61.153824755350755
e26,L,62.57333333333333,8.899512,53.67382104237874
e27,L,66.70666666666666,5.5294952,61.17717142740885
e28,L,63.696666666666665,6.7340875,56.96257919947306
e29,L,54.23333333333333,9.233726,44.9996077855428
e3,L,86.08333333333333,12.743774,73.33955891927083
e30,L,63.74666666666667,12.505059,51.241607424418135
e31,L,55.15333333333333,7.5642595,47.58907380421956
e32,L,71.23666666666666,7.4135485,63.82311819712321
e33,L,79.98666666666666,10.530205,69.45646189371745
e34,L,73.67999999999999,6.653598,67.02640216827392
e35,L,85.78666666666668,13.269512,72.517154490153
e36,L,85.0,11.76812,73.23188018798828
e37,L,61.63999999999999,7.8557615,53.78423847198486
e38,L,61.25,9.634776,51.61522388458252
e39,L,55.99333333333333,10.594241,45.39909219106038
e4,L,82.01333333333334,3.1976109,78.8157224782308
e40,L,65.44333333333334,9.294968,56.148365681966155
e41,L,54.60666666666666,8.394552,46.2121144358317
e42,L,52.87,7.213997,45.656003112792966
e43,L,83.08666666666666,11.64794,71.43872698465982
e44,L,81.31,11.381306,69.92869430541992
e45,L,84.36,9.600858,74.75914226531982
e46,L,74.63,2.1621282,72.46787178993225
e47,L,72.64333333333333,1.768841,70.87449230511983
e48,L,66.58666666666667,1.7268409,64.85982581297557
e49,L,64.69666666666667,-2.6491127,67.34577936808269
e5,L,82.96666666666665,1.9384989,81.02816781202951
e50,L,68.83333333333333,-2.1701877,71.00352104504903
e51,L,70.45666666666666,-2.355473,72.81213970820109
e52,L,58.51666666666667,-3.2544801,61.77114679018657
e53,L,58.21666666666667,-3.0202193,61.236885992685956
e54,L,58.00666666666666,-3.307522,61.3141887251536
e55,L,78.96999999999998,12.381241,66.58875915527342
e56,L,85.43333333333332,6.797764,78.63556950887043
e57,L,87.79666666666667,7.5620413,80.23462538401286
e58,L,67.54666666666667,0.5915831,66.95508359352748
e59,L,66.04,0.35170496,65.688295044899
e6,L,76.23333333333333,16.78345,59.4498841603597
e60,L,65.14333333333333,0.36003405,64.78329928477605
e61,L,56.133333333333326,-0.674171,56.807504304250074
e62,L,67.61666666666667,-0.96267223,68.57933890024822
e63,L,58.98666666666666,-0.3231745,59.309841173092515
e64,L,82.91333333333334,10.014867,72.89846650441488
e65,L,79.15333333333335,1.6565824,77.49675097783408
e66,L,82.47333333333334,9.080617,73.39271638234457
e67,L,75.51666666666667,3.531725,71.9849417368571
e68,L,82.46,-0.63372064,83.09372063636779
e69,L,84.98333333333333,10.687631,74.29570267995199
e7,L,84.8,-0.05985938,84.859859380126
e70,L,66.14999999999999,-2.0855458,68.23554577827453
e71,L,67.12333333333333,-2.091319,69.21465241750082
e72,L,67.17333333333333,-2.231868,69.40520136197408
e73,L,63.22,-3.442534,66.66253396987915
e74,L,59.553333333333335,-3.292886,62.846219352086386
e75,L,63.376666666666665,-2.9321938,66.30886042277018
e76,L,75.16333333333334,8.982535,66.18079797108969
e77,L,76.70333333333333,7.393569,69.30976434071859
e78,L,79.39999999999999,9.304527,70.09547271728515
e79,L,64.68,-5.1740556,69.85405557632447
e8,L,85.93333333333334,-0.42205092,86.35538425644239
e80,L,66.11,-4.768387,70.87838684082031
e81,L,74.49,-4.785291,79.27529119491577
