filename,L,a,b
"67","79.89","17.78","20.29"
"67","79.17","17.82","21.18"
"68","76.78","15.84","19.17"
"68","79.33","15.49","18.54"
"68","77.77","15.16","17.5"
"69","53.93","23.32","17.14"
"69","57.08","22.61","17.91"
"69","58.35","22.12","19.19"
"70","69.99","23.31","21.67"
"70","65.9","25.6","3.27"
"70","68.85","25.12","22.73"
"71","64.17","29.16","20.4"
"71","61.21","27.22","19.49"
"71","61.52","25.07","20.71"
"72","70.86","19.94","15.98"
"72","75.38","19.79","15.65"
"72","73.38","20.43","16.02"
"73","73.23","21.57","16.19"
"73","67.77","20.64","15.39"
"73","72.67","20.61","15.22"
"74","78.35","16.3","20.82"
"74","77.13","16.26","20.97"
"74","77.4","16.32","21.13"
"75","79.68","19.79","19.3"
"75","77.48","19.04","18.76"
"75","74.82","19.23","18.55"
"76","65.23","23.4","23.89"
"76","65.07","23.48","23.46"
"76","61.15","22.23","21.2"
"77","60.12","22.93","19.79"
"77","62.28","22.58","19.5"
"77","58.1","23.35","19.7"
"78","56.9","23.95","19.66"
"78","53.78","23.9","19.58"
"78","54.73","23.23","19.65"
"79","62.31","22.48","20.08"
"79","63.08","21.7","19.41"
"79","65.09","21.23","19.8"
"80","63.28","25.06","22.43"
"80","59.78","25.91","21.58"
"80","65.48","23.76","21.07"
"81","62.16","14","21.58"
"81","62.04","14.05","21.83"
"81","62.37","14","21.72"
"82","86.87","15.17","18.87"
"82","92.93","15.68","18.69"
"82","84.45","15.25","19.69"
"83","85.05","16.8","18.14"
"83","87.18","16.82","20.04"
"83","81.21","16.34","20.73"
"84","85.7","15.41","18.74"
"84","87.74","15.04","17.9"
"84","84.63","15.14","18.53"
"85","63.37","23.94","21.67"
"85","64.53","24.2","21.38"
"85","66.57","25.1","21.3"
"86","64.52","25.14","20.12"
"86","59.19","22.09","19.75"
"86","62.18","22.12","19.72"
"87","55.46","21.26","15.83"
"87","50.44","21.35","15.74"
"87","50.36","21.47","15.72"
"88","54.31","21.02","17.1"
"88","53.93","21.05","17.13"
"88","55.06","22.64","16.81"
"89","61.3","28.37","21.97"
"89","58.66","26.21","18.69"
"89","57.89","26.17","19.28"
"90","81.13","17.52","19.34"
"90","81.31","17.67","20.41"
"90","82.27","19.53","25.79"
"91","57.96","21.95","19.59"
"91","56.76","23.31","19.45"
"91","51.29","21.36","16.56"
"92","77.05","18.24","18.96"
"92","79.9","17.94","19.52"
"92","73.7","20.26","22.23"
"93","57.02","23.56","18.65"
"93","55.51","23.38","18.83"
"93","53.37","23.72","19.44"
"94","61.48","25.18","19.99"
"94","59.05","26.09","19.65"
"94","57.42","25.76","19.16"
"95","89.43","15.04","18.08"
"95","89.79","14.8","18.61"
"95","91.82","14.53","19.07"
"96","75.66","15.94","17.4"
"96","78.71","15.9","18.41"
"96","78.92","16.24","19.1"
"97","77.95","16.57","20.89"
"97","79.26","16.5","19.9"
"97","77.84","16.69","20.6"
"98","53.34","22.81","16.53"
"98","53.53","23.2","16.53"
"98","54.7","25.07","17.17"
"99","56.06","24.61","18.34"
"99","56.16","24.35","18.14"
"99","54.8","24.24","17.77"
"100","89.8","14.61","16.94"
"100","83.78","14.55","17.06"
"100","84.39","14.81","17.81"
